ALDI,0051118468,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,109,A3,B4,C2,D3,E2,F5,G5,H3,I4,J4,K4,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Administratur Lembaga Pendidikan/Sekolah,Auditor Internal,bambang,1231312
NURHIDAYAT,3049567125,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,94,A3,B3,C3,D2,E2,F2,G2,H2,I3,J3,K3,40,46,70,54,46,54,S,R,A,S-R-A,70,54,54,Administratur Rekam Medis,Desainer Interior,bambang,1231313
SYARMILA,0050357002,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,109,A3,B5,C5,D4,E3,F2,G2,H5,I2,J2,K5,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Detektif,Administratur Rumah Sakit,bambang,1231314
HUSNUL AWALIAH,0041117291,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,92,A3,B2,C2,D2,E3,F3,G3,H2,I3,J3,K2,50,68,66,66,66,36,E,I,A,E-I-A,68,66,66,Direktur Kapal Pesiar,Disainer Baju-Pakaian-Mode,bambang,1231315
M. ILHAM,0045626322,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,94,A3,B2,C3,D2,E2,F3,G3,H2,I2,J2,K2,96,96,96,94,92,72,S,E,C,S-E-C,96,96,96,Disainer Furnitur/Mebeler,Direktur Layanan Sosial,bambang,1231316
MUH. HAIKAL,0051117784,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Agen Real Estat/Perumahan Mewah,Direktur Pemakaman,bambang,1231317
ALPIRA BASRI,0048209716,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,92,A3,B2,C2,D2,E3,F3,G3,H2,I3,J3,K2,40,48,32,78,26,58,A,R,E,A-R-E,78,58,48,Agen Tiketing,Administratur Rumah Sakit,bambang,1231318
FAJAR RAMADAN SUKARZAH,0045111894,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,115,A4,B5,C2,D5,E3,F3,G3,H5,I4,J4,K5,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Biokimia,Direktur Seni Biro Periklanan,bambang,1231319
USRI,0031767242,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,94,A3,B3,C2,D2,E2,F3,G3,H2,I4,J4,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Diet,Disainer Baju-Pakaian-Mode,bambang,1231320
FAJRI,0056348256,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,91,A3,B2,C2,D2,E2,F2,G2,H2,I4,J4,K2,32,58,34,38,50,50,E,R,I,E-R-I,58,50,50,Ahli Farmasi (Farmakolog),Agen Real Estat/Perumahan Mewah,bambang,1231321
MUH. ALIF SADRAN,3057308335,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,76,76,76,74,72,66,S,E,C,S-E-C,76,76,76,Ahli Geografi,Disainer Grafis,bambang,1231322
ASHAR,3053438856,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B3,C2,D2,E4,F2,G2,H2,I2,J2,K3,60,70,64,76,64,80,R,A,E,R-A-E,80,76,70,Administratur Lembaga Pendidikan/Sekolah,Ahli Biokimia,bambang,1231323
NURHIKMA,0061200631,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B3,C2,D3,E3,F2,G2,H3,I4,J4,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Bius (Anaesthesi),Administratur Rekam Medis,bambang,1231324
NURHALIZA,0060094095,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,119,A4,B5,C3,D5,E3,F3,G3,H5,I4,J4,K5,26,38,28,4,22,6,E,S,C,E-S-C,38,28,26,Ahli Ilmu Cuaca (Meteorologi),Administratur Rumah Sakit,bambang,1231325
RUSDI FAISBA PANCA NANDA,3053390094,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Hewan,Ahli Geografi,bambang,1231326
MUNAWARA,0057049282,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,94,A3,B2,C2,D3,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Kelautan (Oseanografi),Agen Perjalanan,bambang,1231327
VIKRI,0053392655,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,88,A2,B4,C2,D2,E2,F2,G2,H3,I2,J2,K4,26,40,28,44,58,42,I,A,R,I-A-R,58,44,42,Ahli Ilmu Sosial (Sosiologi),Agen Real Estat/Perumahan Mewah,bambang,1231328
CITRA AULIA,0054387132,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,100,A3,B2,C2,D2,E4,F2,G2,H2,I3,J3,K2,30,30,18,48,18,18,A,E,C,A-E-C,48,30,30,Ahli Ilmu Tanah (Agronomi),Agen Tiketing,bambang,1231329
KARTINA,0062452752,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,88,A2,B2,C2,D2,E2,F3,G3,H2,I3,J3,K2,76,72,66,70,82,84,R,I,C,R-I-C,84,82,76,Ahli Kacamata-Optisian,Ahli Biokimia,bambang,1231330
